category,code,name_df,name,source,frequency,original,order,transf,tcode,transf_code,days_lag,where
Industry ,21866,ind_prod_dur_goods,Indicadores da produção (2012=100) - Bens de consumo duráveis	,IBGE,M,Index,I(1),diff,2,3,30,BCB
Industry ,21867,ind_prod_nondur_goods,Indicadores da produção (2012=100) - Semiduráveis e não duráveis,IBGE,M,Index,I(1),diff,2,3,30,BCB
Industry ,21868,ind_prod_cc_materials,Indicadores da produção (2012=100) - Insumos da construção civil,IBGE,M,Index,I(1),diff,2,3,30,BCB
Industry ,1338,ind_real_sales,Vendas industriais reais (1992=100) - Indústria de transformação,CNI ,M,Index,I(1),diff,2,3,32,BCB
Industry ,1373,vehi_prod,Produção total de autoveículos,Anfavea,M,Units,I(0),none,0,3,6,BCB
Industry ,1374,pass_cars_prod,Produção de automóveis e comerciais leves	,Anfavea,M,Units,I(0),none,0,3,6,BCB
Industry ,1375,truck_prod,Produção de caminhões,Anfavea,M,Units,I(1),diff,2,3,6,BCB
Industry ,1376,bus_prod,Produção de ônibus	,Anfavea,M,Units,I(0),none,0,3,6,BCB
Industry ,None,nuci_gv,Nível de Utilização da capacidade instalada (NUCI),FGV,M,Percentage,I(0),none,0,3,-1,FGVDados
Sales,1455,total_sales,Índice volume de vendas no varejo - Total - Brasil	,IBGE,M,Index,I(1),diff,2,3,45,BCB
Sales,20105,const_sales,Índice do volume de vendas no varejo - Material de construção	,IBGE,M,Index,I(1),diff,2,3,45,BCB
Sales,20106,com_sales,Índice do volume de vendas no varejo - Comércio ampliado	,IBGE,M,Index,I(1),diff,2,3,45,BCB
Sales,1522,forn_app_sales,Índice volume de vendas no varejo - Móveis e eletrodomésticos,IBGE,M,Index,I(1),diff,2,3,45,BCB
Sales,1483,fuel_sales,Índice volume de vendas no varejo - Combustíveis e lubrificantes ,IBGE,M,Index,I(2),diff_diff,,3,45,BCB
Sales,1496,nondur_congoods_sales,"Índice volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo",IBGE,M,Index,I(1),diff,2,3,45,BCB
Sales,1509,vest_sales,"Índice volume de vendas no varejo - Tecido, vestuário e calçado",IBGE,M,Index,I(1),diff,2,3,45,BCB
Sales,1548,vehi_sales,"Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças",IBGE,M,Index,I(1),diff,2,3,45,BCB
Sales,20099,medcare_sales,"Índice volume de vendas no varejo - Artigos farmacêuticos, médicos, ortopédicos, perfumaria e cosméticos",IBGE,M,Index,I(1),diff,2,3,45,BCB
Sales,20101,books_sales,"Índice volume de vendas no varejo - Livros, jornais, revistas e papelaria",IBGE,M,Index,I(1),diff,2,3,45,BCB
Sales,20102,offcomm_sales,Índice volume de vendas no varejo - Equipamentos e materiais para escritório e comunicação,IBGE,M,Index,I(1),diff,2,3,45,BCB
Sales,20104,others_sales,Índice volume de vendas no varejo - Outros artigos de uso pessoal e doméstico,IBGE,M,Index,I(1),diff,2,3,45,BCB
Sales,7389,vehi_total_sales_fenabrave,Vendas de veículos pelas concessionárias - Total	,Fenabrave,M,Units,I(1),diff,2,3,3,BCB
Sales,7384,pass_vehi_sales,Vendas de veículos pelas concessionárias - Automóveis	,Fenabrave,M,Units,I(1),diff,2,3,3,BCB
Sales,7385,light_comm_vehi_sales,Vendas de veículos pelas concessionárias - Comerciais leves	,Fenabrave,M,Units,I(1),diff,2,3,3,BCB
Sales,7386,truck_sales,Vendas de veículos pelas concessionárias - Caminhões	,Fenabrave,M,Units,I(1),diff,2,3,3,BCB
Sales,7387,bus_sales,Vendas de veículos pelas concessionárias - Ônibus	,Fenabrave,M,Units,I(1),diff,2,3,3,BCB
Sales,1378,vehi_total_sales_anfavea,Vendas de autoveículos (total)	,Anfavea,M,Units,I(1),diff,2,3,6,BCB
Sales,1379,vehi_domestic_sales,Vendas de autoveículos no mercado interno	,Anfavea,M,Units,I(1),diff,2,3,6,BCB
Energy ,1402,energy_comm,Consumo de energia elétrica - Comercial	,Eletrobras,M,Gwh,I(1),diff,2,3,22,BCB
Energy ,1403,energy_res,Consumo de energia elétrica - Residencial	,Eletrobras,M,Gwh,I(1),diff,2,3,22,BCB
Energy ,1404,energy_ind,Consumo de energia elétrica - Industrial	,Eletrobras,M,Gwh,I(1),diff,2,3,22,BCB
Energy ,1406,energy_total,Consumo de energia elétrica - Brasil - Total	,Eletrobras,M,Gwh,I(1),diff,2,3,22,BCB
Energy ,1389,prod_crude_oil,Produção de derivados de petróleo - Óleo bruto	,ANP,M,Barrels/day (mil),I(0),none,0,3,45,BCB
Energy ,1390,prod_lgn,Produção de derivados de petróleo - LGN	,ANP,M,Barrels/day (mil),I(0),none,0,3,45,BCB
Energy ,1391,prod_oil_deriv,Produção de derivados de petróleo - Total	,ANP,M,Barrels/day (mil),I(0),none,0,3,45,BCB
Energy ,1393,co_gas,Consumo de derivados de petróleo - Gasolina,ANP,M,Barrels/day (mil),I(1),diff,2,3,45,BCB
Energy ,1394,co_glp,Consumo de derivados de petróleo - GLP,ANP,M,Barrels/day (mil),I(1),diff,2,3,45,BCB
Energy ,1395,co_oilcomb,Consumo de derivados de petróleo - Óleo combustível	,ANP,M,Barrels/day (mil),I(0),none,0,3,45,BCB
Energy ,1396,co_diesel,Consumo de derivados de petróleo - Óleo diesel,ANP,M,Barrels/day (mil),I(1),diff,2,3,45,BCB
Energy ,1398,co_oilderiv_total,Consumo de derivados de petróleo - Total	,ANP,M,Barrels/day (mil),I(1),diff,2,3,45,BCB
Energy ,1399,co_hid_alc,Consumo de álcool carburante - Álcool hidratado	,ANP,M,Barrels/day (mil),I(2),diff_diff,,3,45,BCB
Energy ,1401,co_alc_total,Consumo de álcool carburante - Total,ANP,M,Barrels/day (mil),I(1),diff,2,3,45,BCB
International,22701,curr_acc,Transações correntes - mensal - saldo	,BCB-DSTAT,M,US$ ,I(1),diff,2,3,50,BCB
International,23080,idp_gdp_twelve_mon,Investimento Direto no País acumulado em 12 meses em relação ao PIB - mensal,BCB-DSTAT,M,Percentage,I(1),diff,2,2,28,BCB
International,22865,ide_mon,Investimentos diretos no exterior - IDE - mensal - líquido,BCB-DSTAT,M,US$,I(0),none,0,3,28,BCB
Public Sector,2057,net_publi_debt_states,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Governos estaduais	,BCB-DSTAT,M,R$,I(1),diff,2,3,31,BCB
Public Sector,2143,pr_central_gov,NFSP sem desvalorização cambial - (u.m.c.) - Resultado primário - Total - GF e BCB        ,BCB-DSTAT,M,R$,I(0),none,0,3,31,BCB
Public Sector,4503,net_debt_percent_gdp,Dívida Líquida do Setor Público (% PIB) - Total - Governo Federal e Banco Central,BCB-DSTAT,M,Percentage,I(1),diff,2,2,31,BCB
Public Sector,4507,net_debt_per_gdp_states,Dívida Líquida do Setor Público (% PIB) - Total - Governos estaduais,BCB-DSTAT,M,Percentage,I(1),diff,2,2,31,BCB
Public Sector,4509,net_debt_per_gdp_pe,Dívida Líquida do Setor Público (% PIB) - Total - Empresas estatais	,BCB-DSTAT,M,Percentage,I(1),diff,2,1,31,BCB
Public Sector,4513,net_debt_per_gdp_cons_ps,Dívida Líquida do Setor Público (% PIB) - Total - Setor público consolidado	,BCB-DSTAT,M,Percentage,I(1),diff,2,2,31,BCB
Public Sector,10733,nm_debt_cost,Custo real da dívida não-monetária - Total (valor),BCB-DSTAT,M,u.m.c,I(0),none,0,3,31,BCB
Public Sector,10734,nm_debt_cost_int,Custo real da dívida não-monetária - Total (taxa),BCB-DSTAT,M,% a.a ,I(0),none,0,2,31,BCB
Monetary and Finance,1785,mon_base,BM - Base monetária restrita (média nos dias úteis do mês)	,BCB-DSTAT,M,R$,I(1),diff,2,3,31,BCB
Monetary and Finance,3546,inter_reserv,Reservas internacionais - Total - mensal	,BCB-DSTAT,M,US$,I(1),diff,2,3,31,BCB
Monetary and Finance,3547,inter_reserv_liq,Reservas internacionais - Reservas em divisas conversíveis - Total	,BCB-DSTAT,M,US$,I(1),diff,2,3,31,BCB
Monetary and Finance,27788,mi_wkdavg,Meios de pagamento - M1 (média dos dias úteis do mês) - Novo	,BCB-DSTAT,M,R$,I(1),diff,2,3,31,BCB
Monetary and Finance,27810,mii_balance_endp,Meios de pagamento amplos - M2 (saldo em final de período) - Novo	,BCB-DSTAT,M,R$ mil,I(1),diff,2,3,31,BCB
Monetary and Finance,4390,selic_mon,Taxa de juros - Selic acumulada no mês	,BCB-Demab,M,Percentage,I(1),diff,2,2,0,BCB
Monetary and Finance,256,interest_longterm,Taxa de juros de longo prazo - TJLP	,BCB-Demab,M,% a.a,I(1),diff,2,5,0,BCB
Monetary and Finance,4391,cdi_mon,CDI acumulada no mês	,BCB-Demab,M,% a.m,I(1),diff,2,2,0,BCB
Monetary and Finance,20631,credit_tot,Concessões de crédito - Total	,BCB-DSTAT,M,R$,I(2),diff_diff,,4,28,BCB
Monetary and Finance,20632,credit_enter,Concessões de crédito - Pessoas jurídicas - Total	,BCB-DSTAT,M,R$,I(2),diff_diff,,4,28,BCB
Monetary and Finance,7415,bndes_desem_total,Desembolsos do sistema BNDES - Total,BNDES,M,R$ (milhões),I(1),diff,2,4,15,BCB
Monetary and Finance,7416,bndes_desem_ind_transf,Desembolsos do sistema BNDES - Indústria de transformação        ,BNDES,M,R$ (milhões),I(1),diff,2,4,15,BCB
Monetary and Finance,7417,bndes_desem_comserv,Desembolsos do sistema BNDES - Comércio e serviços,BNDES,M,R$ (milhões),I(1),diff,2,4,15,BCB
Monetary and Finance,7419,bndes_desem_ind_ext,Desembolsos do sistema BNDES - Indústria extrativa,BNDES,M,R$ (milhões),I(1),diff,2,4,15,BCB
Monetary and Finance,3698,exr_usd_mon_mean,Taxa de câmbio - Livre - Dólar americano (venda) - Média de período - mensal	,BCB-DSTAT,M,US$,I(1),diff,2,1,1,BCB
Survey and Others,29038,household_debt,Endividamento das famílias exceto crédito habitacional (RNDBF)	,BCB-DSTAT,M,Percent,I(1),diff,2,3,56,BCB
Survey and Others,7357,steel_prod,Produção de aço bruto (1992=100)	,BCB-Depec,M,Index,I(0),none,0,3,20,BCB
Survey and Others,28553,road_flow_gross_vehi,Tráfego de veículos pesados nas estradas pedagiadas - ABCR - Dados dessazonalizados,BCB-Depec,M,Index,I(1),diff,2,3,10,BCB
Survey and Others,17660,serv_conf_index_fgv,Índice de Confiança Serviços,FGV/BCB,M,Index,I(1),diff,2,1,-1,BCB
Survey and Others,17661,serv_curr_situ_index_fgv,Índice de Situação Atual - Serviços,FGV/BCB,M,Index,I(1),diff,2,3,-1,BCB
Survey and Others,17662,serv_expec_index_fgv,Índice de Expectativas - Serviços,FGV/BCB,M,Index,I(1),diff,2,1,-1,BCB
Survey and Others,4393,ind_conf_cons_feco,Índice de Confiança do Consumidor,Fecomercio,M,Index,I(1),diff,2,1,15,BCB
Survey and Others,4394,ind_eco_cond_feco,Índice de Condições Econômicas Atuais,Fecomercio,M,Index,I(1),diff,2,1,15,BCB
Survey and Others,4395,ind_fut_expec_feco,Índice de Expectativas Futuras,Fecomercio,M,Index,I(1),diff,2,1,15,BCB
Survey and Others,None,ind_conf_index_fgv,Índice de Confiança - Índustria ,FGV,M,Index,I(0),none,0,1,-1,FGVDados
Survey and Others,None,ind_curr_situ_index_fgv,Índice de Situação Atual - Índustria,FGV,M,Index,I(0),none,0,1,-1,FGVDados
Survey and Others,None,ind_expec_index_fgv,Índice de Expectativas - Índustria,FGV,M,Index,I(0),none,0,1,-1,FGVDados
Survey and Others,None,cons_conf_index_fgv,Índice de Confiança do Consumidor,FGV,M,Index,I(1),diff,2,1,-5,FGVDados
Survey and Others,None,cons_curr_situ_index_fgv,Índice de Confiança do Consumidor - Situação Presente,FGV,M,Index,I(1),diff,2,3,-5,FGVDados
Survey and Others,None,cons_expec_index_fgv,Índice de Confiança do Consumidor - Expectativas,FGV,M,Index,I(0),none,0,1,-5,FGVDados
Survey and Others,None,emp_conf_index_fgv,Índice de Confiança Empresarial ,FGV,M,Index,I(0),none,0,1,2,FGVDados
Survey and Others,None,emp_curr_situ_index_fgv,Índice de Confiança Empresarial - Situação Atual ,FGV,M,Index,I(0),none,0,1,2,FGVDados
Survey and Others,None,emp_expec_index_fgv,Índice de Confiança Empresarial - Expectativas,FGV,M,Index,I(0),none,0,1,2,FGVDados
General Index,PIB Total,expec_gdp,Expectativas de Mercado - Boletim Focus - PIB - Mediana - ano corrente - mês a mês fechamento,BCB,M,Anual var %,I(1),diff,2,2,0,Focus
Prices,IPCA,expec_ipca,Expectativas de Mercado - Boletim Focus - IPCA - Mediana - ano corrente - mês a mês fechamento,BCB,M,Anual var %,I(1),diff,2,2,0,Focus
Monetary and Finance,Selic,expec_selic,Expectativas de Mercado - Boletim Focus - Taxa de Juros Selic - Mediana - ano corrente - mês a mês,BCB,M,% a.a ,I(1),diff,2,2,0,Focus
Monetary and Finance,Câmbio,expec_exr_usd,Expectativas de Mercado - Boletim Focus - Taxa de Câmbio (Dólar) - Mediana - ano corrente - mês a mês,BCB,M,R$/USD Year,I(1),diff,2,2,0,Focus
International,SECEX12_XVTOT12,exp_fob,Exportações - FOB,MDIC/Secex,M,US$ (milhões),I(2),diff_diff,,3,8,Ipeadata
International,SECEX12_XBENCAPGCE12,exp_kgood_fob,Exportações - bens de capital - (FOB),MDIC/Secex,M,US$ (milhões),I(1),diff,2,3,8,Ipeadata
International,SECEX12_XBENCONGCE12,exp_comgood_fob,Exportações - FOB - Bens de consumo,MDIC/Secex,M,US$ (milhões),I(1),diff,2,3,8,Ipeadata
International,SECEX12_MVTOT12,imp_fob,Importações - FOB,MDIC/Secex,M,US$ (milhões),I(1),diff,2,3,8,Ipeadata
International,SECEX12_MBENCAPGCE12,imp_kgood_fob,Importações - FOB - Bens de capital,MDIC/Secex,M,US$ (milhões),I(1),diff,2,3,8,Ipeadata
International,SECEX12_MBENCONGCE12,imp_comgood_fob,Importações - FOB - Bens de consumo,MDIC/Secex,M,US$ (milhões),I(2),diff_diff,,3,8,Ipeadata
Public Sector,SRF12_TOTGER12,revenue_rf,Arrecadação das receitas federais - receita bruta,ME,M,u.m.c,I(1),diff,2,4,14,Ipeadata
Prices,BZ=F,brent_oil_price,Preço do Barril de Petróleo - Brent -  Fechamento no Período,Yahoo!,M,US$,I(1),diff,2,3,0,Yahoo! Finance
